,State,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,fips
0,Alabama,0,0,5.384615384615385,5.833333333333333,0,12.0,0,0,0,0,US01
1,California,0,0,0,0,0,3.0,3.0,4.4,0,0,US06
2,District of Columbia,7.7,7.608333333333333,7.265441176470588,10.658823529411764,6.888888888888889,6.0,0,8.333333333333334,2.0,3.0,US11
3,Hawaii,0,10.0,0,0,0,0,0,0,0,0,US15
4,Idaho,0,0,0,0,0,5.0,0,0,0,0,US16
5,Illinois,0,8.0,5.625,13.0,0,0,0,0,5.0,0,US17
6,Indiana,0,5.333333333333333,7.571428571428571,7.208955223880597,5.0,0,7.0,3.0,0,0,US18
7,Iowa,0,0,0,0,0,0,0,0,10.0,0,US19
8,Kansas,0,0,6.96969696969697,8.75,5.0,6.2,0,9.0,7.0,14.0,US20
9,Kentucky,0,6.818181818181818,0,5.0,0,0,0,15.0,0,0,US21
10,Louisiana,10.0,7.0,6.666666666666667,5.428571428571429,9.0,0,0,0,0,0,US22
11,Maryland,0,0,11.0,8.0,0,0,0,0,0,0,US24
12,Michigan,0,10.0,6.526315789473684,5.8,0,0,0,0,0,0,26
13,Minnesota,0,0,0,3.0,0,0,0,7.0,5.0,0,US27
14,Mississippi,9.666666666666666,8.4,6.15625,6.878048780487805,0,0,0,0,0,0,US28
15,Missouri,0,5.916666666666667,5.4,6.0,0,14.0,0,0,0,0,US29
16,Nebraska,0,0,5.0,10.0,0,0,3.5,1.0,0,0,US31
17,New Mexico,0,0,0,6.0,0,0,0,0,0,0,US35
18,New York,0,6.25,5.653061224489796,5.333333333333333,5.666666666666667,10.0,4.833333333333333,3.75,1.0,0,US36
19,North Carolina,11.5,7.7272727272727275,6.345679012345679,7.5,0,0,11.5,0,0,0,US37
20,North Dakota,0,0,0,0,0,5.0,0,0,0,0,US38
21,Ohio,7.0,7.803921568627451,6.950048971596474,7.896428571428571,5.285714285714286,7.5,0,0,0,0,US39
22,Oklahoma,0,0,0,0,0,0,0,0,6.0,0,US40
23,Pennsylvania,0,8.0,6.24,7.386666666666667,7.0,0,1.0,2.0,0,0,US42
24,South Carolina,9.666666666666666,7.75,6.851851851851852,6.846153846153846,0,7.0,9.0,0,7.0,0,US45
25,Tennessee,0,0,7.25,6.666666666666667,0,0,0,0,0,0,US47
26,Texas,0,0,7.0,0,0,0,0,2.0,0,0,US48
27,Utah,0,0,0,0,0,0,0,3.6666666666666665,0,0,US49
28,Vermont,7.445945945945946,7.610849056603773,6.5371024734982335,7.130434782608695,6.25,0,0,0,0,0,US50
29,Virginia,0,6.7631578947368425,6.264285714285714,6.666666666666667,5.0,0,0,0,5.0,0,US51
30,Washington,0,0,0,7.333333333333333,0,0,2.0,0,0,0,US53
31,West Virginia,0,0,7.375,7.315789473684211,4.5,0,0,0,0,0,US54
