,State,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,fips
0,Alabama,0,0,0.014961538461538469,0.0021666666666666687,0,-0.08299999999999999,0,0,0,0,US01
1,California,0,0,0,0,0,-0.054,0.0575,0.001400000000000004,0,0,US06
2,District of Columbia,0.007799999999999999,0.008608333333333332,0.016683823529411754,0.005894117647058826,0.029333333333333336,0.018250000000000006,0,-0.022500000000000006,-0.019000000000000003,-0.166,US11
3,Hawaii,0,0.08000000000000002,0,0,0,0,0,0,0,0,US15
4,Idaho,0,0,0,0,0,0.028999999999999998,0,0,0,0,US16
5,Illinois,0,0.025999999999999995,0.0045,0.038,0,0,0,0,-0.028999999999999998,0,US17
6,Indiana,0,0.007111111111111108,0.01094642857142857,0.0009701492537313452,0.09899999999999999,0,-0.07800000000000001,0.019000000000000003,0,0,US18
7,Iowa,0,0,0,0,0,0,0,0,0.0050000000000000044,0,US19
8,Kansas,0,0,0.028598484848484842,-0.027083333333333338,-0.004499999999999997,0.012400000000000003,0,0.091,0.0010000000000000009,0.08099999999999999,US20
9,Kentucky,0,0.025363636363636363,0,0.06199999999999999,0,0,0,-0.054000000000000006,0,0,US21
10,Louisiana,-0.0029999999999999957,0.042,0.007600000000000001,0.00942857142857143,0.027200000000000002,0,0,0,0,0,US22
11,Maryland,0,0,-0.020000000000000004,0.01570588235294118,0,0,0,0,0,0,US24
12,Michigan,0,-0.006000000000000002,0.0013684210526315776,0.0029714285714285715,0,0,0,0,0,0,US26
13,Minnesota,0,0,0,-0.0345,0,0,0,-0.0165,-0.053000000000000005,0,US27
14,Mississippi,0.023833333333333335,0.007400000000000001,0.013140625000000001,0.03239024390243902,0,0,0,0,0,0,US28
15,Missouri,0,0.024416666666666666,0.0099,0.0040000000000000036,0,-0.061,0,0,0,0,US29
16,Nebraska,0,0,0.06,0.003999999999999997,0,0,0.023,-0.06999999999999999,0,0,US31
17,New Mexico,0,0,0,0.0020000000000000018,0,0,0,0,0,0,US35
18,New York,0,0.008437499999999997,-0.0034897959183673483,-0.005966666666666665,0.01833333333333333,-0.013000000000000005,-0.0014999999999999979,-0.007166666666666666,0.037000000000000005,0,US36
19,North Carolina,0.027500000000000004,0.02631818181818182,0.012271604938271608,0.01775,0,0,-0.0615,0,0,0,US37
20,North Dakota,0,0,0,0,0,0.010000000000000009,0,0,0,0,US38
21,Ohio,-0.049,0.02209243697478992,0.013912830558276208,0.00297857142857143,0.027,-0.028499999999999998,0,0,0,0,US39
22,Oklahoma,0,0,0,0,0,0,0,0,-0.020999999999999998,0,US40
23,Pennsylvania,0,0.024000000000000007,0.01881333333333333,4.00000000000004e-05,0.022999999999999993,0,0.06999999999999999,-0.016,0,0,US42
24,South Carolina,0.039,0.028874999999999998,-0.005333333333333336,0.006615384615384615,0,0.00875,-0.008499999999999994,0,-0.076,0,US45
25,Tennessee,0,0,0.020697368421052628,0.0027777777777777783,0,0,0,0,0,0,US47
26,Texas,0,0,-0.062,0,0,0,0,0.121,0,0,US48
27,Utah,0,0,0,0,0,0,0,0.007833333333333333,0,0,US49
28,Vermont,0.015682432432432444,0.022061320754716982,0.028003533568904594,0.0035652173913043473,0.006000000000000002,0,0,0,0,0,US50
29,Virginia,0,0.0008947368421052645,0.0061857142857142874,0.014076923076923075,0.05100000000000002,0,0,0,-0.046,0,US51
30,Washington,0,0,0,-0.014333333333333332,0,0,-0.0010000000000000009,0,0,0,US53
31,West Virginia,0,0,0.0190625,-0.014842105263157893,0.04,0,0,0,0,0,US54
